StartTime,EndTime,FilteredVolume,FilteredDuration,FilteredFlowRate,OriginalVolume,OriginalDuration,OriginalFlowRate,Number_of_peaks,Peak_Value,Cluster
2019-10-04 13:11:10,2019-10-04 13:15:10,9.613989,4.0,2.40349725,10.862559000000001,4.0,2.7156397500000002,2,4,0
2019-10-04 13:15:58,2019-10-04 13:18:30,20.143596000000002,2.533333333333333,7.951419473684211,21.22569,2.533333333333333,8.378561842105263,1,14,4
2019-10-04 13:22:26,2019-10-04 13:24:46,20.559786000000003,2.3333333333333335,8.811336857142857,21.683499,2.3333333333333335,9.292928142857143,1,16,4
2019-10-04 13:25:58,2019-10-04 13:28:38,24.971400000000003,2.6666666666666665,9.364275000000001,25.554066000000002,2.6666666666666665,9.582774750000002,2,17,4
2019-10-04 13:29:18,2019-10-04 13:32:30,30.423489000000004,3.2,9.5073403125,30.756441000000002,3.2,9.6113878125,2,17,4
2019-10-04 13:32:42,2019-10-04 13:35:30,23.722830000000002,2.8,8.472439285714287,25.262733,2.8,9.022404642857143,1,15,4
2019-10-04 15:21:30,2019-10-04 15:22:30,1.9977120000000002,1.0,1.9977120000000002,2.2474260000000004,1.0,2.2474260000000004,3,4,0
2019-10-04 16:30:38,2019-10-04 16:31:34,1.956093,0.9333333333333333,2.095813928571429,2.205807,0.9333333333333333,2.363364642857143,1,4,0
2019-10-04 17:11:18,2019-10-04 17:11:54,2.1225690000000004,0.6,3.5376150000000006,2.2474260000000004,0.6,3.7457100000000008,0,9,3
2019-10-04 17:47:10,2019-10-04 17:48:30,3.662472,1.3333333333333333,2.7468540000000004,4.0786620000000005,1.3333333333333333,3.0589965000000006,1,5,0
2019-10-04 17:51:14,2019-10-04 17:51:46,0.332952,0.5333333333333333,0.6242850000000001,0.457809,0.5333333333333333,0.858391875,0,1,1
2019-10-04 17:52:26,2019-10-04 17:52:34,0.083238,0.13333333333333333,0.6242850000000001,0.12485700000000001,0.13333333333333333,0.9364275000000001,0,0,1
2019-10-04 20:51:22,2019-10-04 20:51:58,2.0393310000000002,0.6,3.3988850000000004,2.205807,0.6,3.6763450000000004,0,9,3
2019-10-04 21:06:14,2019-10-04 21:06:38,0.24971400000000002,0.4,0.624285,0.457809,0.4,1.1445224999999999,0,1,1
2019-10-04 21:49:34,2019-10-04 21:50:54,2.91333,1.3333333333333333,2.1849975,3.4959960000000003,1.3333333333333333,2.6219970000000004,1,4,0
2019-10-05 05:32:38,2019-10-05 05:33:54,2.830092,1.2666666666666666,2.234283157894737,3.537615,1.2666666666666666,2.7928539473684215,2,4,0
2019-10-05 07:03:46,2019-10-05 07:04:46,1.9977120000000002,1.0,1.9977120000000002,2.205807,1.0,2.205807,1,4,0
2019-10-05 07:47:46,2019-10-05 07:49:02,2.91333,1.2666666666666666,2.299997368421053,3.662472,1.2666666666666666,2.891425263157895,1,4,0
2019-10-05 08:04:02,2019-10-05 08:04:10,0.083238,0.13333333333333333,0.6242850000000001,0.083238,0.13333333333333333,0.6242850000000001,0,0,1
2019-10-05 08:05:18,2019-10-05 08:05:30,0.12485700000000001,0.2,0.624285,0.166476,0.2,0.83238,0,0,1
2019-10-05 08:13:54,2019-10-05 08:13:58,0.041619,0.06666666666666667,0.6242850000000001,0.041619,0.06666666666666667,0.6242850000000001,0,0,1
2019-10-05 08:22:18,2019-10-05 08:22:54,0.37457100000000004,0.6,0.6242850000000001,0.6242850000000001,0.6,1.0404750000000003,0,1,1
2019-10-05 08:28:38,2019-10-05 08:29:38,2.1225690000000004,1.0,2.1225690000000004,2.413902,1.0,2.413902,3,4,0
2019-10-05 08:38:38,2019-10-05 08:38:46,0.083238,0.13333333333333333,0.6242850000000001,0.12485700000000001,0.13333333333333333,0.9364275000000001,0,0,1
2019-10-05 08:59:26,2019-10-05 08:59:42,0.166476,0.26666666666666666,0.6242850000000001,0.20809500000000003,0.26666666666666666,0.7803562500000001,0,1,1
2019-10-05 09:04:06,2019-10-05 09:04:26,0.20809500000000003,0.3333333333333333,0.6242850000000001,0.291333,0.3333333333333333,0.8739990000000001,0,1,1
2019-10-05 09:18:54,2019-10-05 09:21:30,9.031323,2.6,3.4735857692307692,10.155036,2.6,3.9057830769230772,1,6,3
2019-10-05 09:37:14,2019-10-05 09:37:30,0.166476,0.26666666666666666,0.6242850000000001,0.24971400000000002,0.26666666666666666,0.9364275000000001,0,1,1
2019-10-05 09:37:42,2019-10-05 09:38:18,0.37457100000000004,0.6,0.6242850000000001,0.6242850000000001,0.6,1.0404750000000003,0,1,1
2019-10-05 09:45:42,2019-10-05 09:47:02,2.954949,1.3333333333333333,2.2162117500000003,3.537615,1.3333333333333333,2.6532112500000005,1,4,0
2019-10-05 10:19:34,2019-10-05 10:19:58,0.24971400000000002,0.4,0.624285,0.41619000000000006,0.4,1.040475,0,1,1
2019-10-05 10:39:06,2019-10-05 10:39:30,0.24971400000000002,0.4,0.624285,0.37457100000000004,0.4,0.9364275000000001,0,1,1
2019-10-05 10:42:14,2019-10-05 10:42:58,2.413902,0.7333333333333333,3.291684545454546,2.705235,0.7333333333333333,3.6889568181818184,0,10,3
2019-10-05 11:19:34,2019-10-05 11:20:34,1.956093,1.0,1.956093,2.205807,1.0,2.205807,2,4,0
2019-10-05 11:29:02,2019-10-05 11:30:06,0.665904,1.0666666666666667,0.6242850000000001,1.1237130000000002,1.0666666666666667,1.0534809375000003,0,1,1
2019-10-05 11:31:38,2019-10-05 11:32:34,1.9144740000000002,0.9333333333333333,2.051222142857143,2.205807,0.9333333333333333,2.363364642857143,2,4,0
